Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
41,Ludovic Ajorque\462475ed,re REU,FW,Strasbourg,fr Ligue 1,25,1994,26,2058,79,84.7,22.9,24,84,12,2,20,1,1.46,31,21,+10,+0.44,+2.86,29.8,24.2,+5.6,+0.25,+0.61,Matches
42,Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,de Bundesliga,24,1995,29,2309,80,75.5,25.7,25,90,24,4,16,2,2.14,70,31,+39,+1.52,+1.04,48.0,28.3,+19.7,+0.77,+0.76,Matches
43,Marley Aké\414e1f69,fr FRA,FWMF,Marseille,fr Ligue 1,18,2001,9,99,11,3.9,1.1,0,,0,9,10,15,1.89,3,3,0,0.00,-0.45,2.3,1.3,+1.0,+0.91,+0.79,Matches
44,Nathan Aké\eaeca114,nl NED,DF,Bournemouth,eng Premier League,24,1995,29,2503,86,73.2,27.8,29,86,27,0,,1,0.93,30,47,-17,-0.61,+0.17,31.9,41.3,-9.3,-0.34,+0.20,Matches
45,Sergio Akieme\06efa9dc,es ESP,DF,Barcelona,es La Liga,21,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
46,Chadrac Akolo\debc2f28,cd COD,FWMF,Amiens,fr Ligue 1,24,1995,15,544,36,21.6,6.0,5,65,0,10,22,6,0.87,7,16,-9,-1.49,-1.03,6.9,9.3,-2.4,-0.40,-0.12,Matches
47,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,18,1142,63,37.3,12.7,12,86,11,6,18,14,1.50,19,19,0,0.00,0.00,19.1,21.2,-2.1,-0.17,-0.17,Matches
48,David Alaba\05439de2,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,28,2498,89,81.6,27.8,27,90,26,1,79,3,2.46,86,24,+62,+2.23,+1.27,67.8,27.0,+40.7,+1.47,+0.30,Matches
49,Sofiane Alakouch\5314e067,ma MAR,DF,Nîmes,fr Ligue 1,21,1998,17,1400,82,55.6,15.6,17,82,11,0,,8,0.76,13,23,-10,-0.64,-0.24,15.4,23.9,-8.5,-0.55,-0.08,Matches
50,Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,24,1174,49,38.4,13.0,11,85,7,13,18,9,1.58,18,20,-2,-0.15,-1.06,21.0,17.5,+3.5,+0.27,-0.12,Matches
51,Fabrizio Alastra\cfed4243,it ITA,GK,Parma,it Serie A,21,1997,0,,,,,0,,0,0,,20,,,,,,,,,,,,Matches
52,Jordi Alba\4601e194,es ESP,DF,Barcelona,es La Liga,30,1989,27,2187,81,63.9,24.3,25,86,21,2,23,2,2.04,53,23,+30,+1.23,-0.08,41.6,22.8,+18.8,+0.78,-0.05,Matches
53,Luis Alberto\5294a83f,es ESP,MF,Lazio,it Serie A,26,1992,36,3113,86,91.0,34.6,36,86,26,0,,0,2.08,75,37,+38,+1.10,+1.39,63.0,43.3,+19.7,+0.57,+0.81,Matches
54,Raúl Albiol\4bd414c1,es ESP,DF,Villarreal,es La Liga,33,1985,36,3237,90,94.6,36.0,36,90,35,0,,1,1.67,61,44,+17,+0.47,+1.95,55.3,40.9,+14.4,+0.40,+1.36,Matches
55,Marc Albrighton\b827d5b3,eng ENG,MFDF,Leicester City,eng Premier League,29,1989,20,867,43,25.4,9.6,9,69,2,11,22,16,1.45,16,11,+5,+0.52,-0.22,14.1,11.8,+2.3,+0.24,-0.28,Matches
56,Paco Alcácer\a7a9d95a,es ESP,FW,Villarreal,es La Liga,25,1993,13,924,71,27.0,10.3,11,77,3,2,36,1,1.77,14,13,+1,+0.10,-0.37,13.1,10.8,+2.3,+0.22,-0.14,Matches
57,Paco Alcácer\a7a9d95a,es ESP,FW,Dortmund,de Bundesliga,25,1993,11,530,48,17.3,5.9,6,78,3,5,13,3,1.64,13,12,+1,+0.17,-1.32,11.0,7.2,+3.8,+0.64,+0.07,Matches
58,Thiago Alcántara\77e84962,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,24,1771,74,57.9,19.7,20,85,15,4,17,1,2.17,54,23,+31,+1.58,-1.01,48.0,21.9,+26.2,+1.33,-0.20,Matches
59,Rubén Alcaraz\036bba5f,es ESP,MF,Valladolid,es La Liga,28,1991,27,1927,71,56.3,21.4,20,85,16,7,33,3,1.15,17,25,-8,-0.37,-0.19,19.2,25.2,-6.0,-0.28,+0.01,Matches
60,Toby Alderweireld\f7d50789,be BEL,DF,Tottenham,eng Premier League,30,1989,33,2957,90,86.5,32.9,33,90,32,0,,5,1.64,53,39,+14,+0.43,+0.43,40.5,43.6,-3.1,-0.09,+0.47,Matches
61,Haitam Aleesami\4085f08e,no NOR,DF,Amiens,fr Ligue 1,28,1991,22,1916,87,76.0,21.3,21,89,20,1,51,6,0.86,27,42,-15,-0.70,-0.11,23.3,30.4,-7.1,-0.33,-0.09,Matches
62,Álex Alegría\46166b49,es ESP,FWMF,Mallorca,es La Liga,26,1992,6,109,18,3.2,1.2,0,,0,6,18,1,0.67,2,2,0,0.00,+0.68,1.4,2.1,-0.7,-0.58,-0.01,Matches
63,Carles Aleñá\6c811eb7,es ESP,MF,Barcelona,es La Liga,21,1998,4,172,43,5.0,1.9,2,68,1,2,19,6,1.75,5,1,+4,+2.09,+0.87,2.7,1.1,+1.5,+0.81,+0.01,Matches
64,Carles Aleñá\6c811eb7,es ESP,MFFW,Betis,es La Liga,21,1998,17,735,43,21.5,8.2,7,75,3,10,21,3,0.88,10,12,-2,-0.24,+0.09,9.4,11.6,-2.2,-0.26,-0.26,Matches
65,Diego Alende\9af88279,es ESP,DF,Valladolid,es La Liga,21,1997,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
66,Rúnar Alex Rúnarsson\8fa8f8d2,is ISL,GK,Dijon,fr Ligue 1,24,1995,11,901,82,35.8,10.0,9,90,9,2,45,15,0.64,8,17,-9,-0.90,-0.84,10.6,16.1,-5.5,-0.54,-0.06,Matches
67,Alexander\3e1858af,ar ARG,MF,Leganés,es La Liga,30,1988,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
68,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,eng Premier League,20,1998,38,3175,84,92.8,35.3,35,88,31,3,26,0,2.61,80,31,+49,+1.39,+0.29,68.0,38.6,+29.5,+0.83,+0.10,Matches
69,Enrico Alfonso\95adf1e1,it ITA,GK,Brescia,it Serie A,31,1988,4,279,70,8.2,3.1,4,70,3,0,,23,0.75,4,4,0,0.00,+1.26,7.4,2.6,+4.8,+1.56,+2.70,Matches
70,Abdallah Ali Mohamed\67cd5f5d,km COM,DF,Marseille,fr Ligue 1,20,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
71,Marco Alia\261dfc43,al ALB,GK,Lazio,it Serie A,19,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
72,Rachid Alioui\bdedd861,ma MAR,FW,Angers,fr Ligue 1,27,1992,28,1563,56,62.0,17.4,17,75,5,11,27,0,1.39,14,21,-7,-0.40,-0.59,16.1,19.5,-3.3,-0.19,-0.35,Matches
73,Alisson\7a2e46a8,br BRA,GK,Liverpool,eng Premier League,26,1992,29,2543,88,74.4,28.3,29,88,27,0,,0,2.48,61,23,+38,+1.34,-0.09,52.7,30.7,+22.1,+0.78,-0.18,Matches
74,Allan\cc700722,br BRA,MF,Napoli,it Serie A,28,1991,23,1280,56,37.4,14.2,16,75,8,7,11,5,1.52,20,20,0,0.00,-0.46,20.9,16.4,+4.5,+0.32,-0.46,Matches
75,Thomas Allan\e95726c1,eng ENG,MF,Newcastle Utd,eng Premier League,19,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
76,Dele Alli\cea4ee8f,eng ENG,MFFW,Tottenham,eng Premier League,23,1996,25,1847,74,54.0,20.5,21,84,12,4,19,3,1.40,31,25,+6,+0.29,-0.17,27.6,29.7,-2.1,-0.10,+0.12,Matches
77,Miguel Almirón\862a1c15,py PAR,MFFW,Newcastle Utd,eng Premier League,25,1994,36,3021,84,88.3,33.6,35,85,21,1,58,1,1.22,35,48,-13,-0.39,+1.19,29.9,50.8,-20.9,-0.62,+0.36,Matches
78,José Alonso Lara\7e28d6f7,es ESP,MF,Sevilla,es La Liga,19,2000,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
79,Marcos Alonso\f4290206,es ESP,DF,Chelsea,eng Premier League,28,1990,18,1430,79,41.8,15.9,15,87,12,3,41,9,2.22,39,18,+21,+1.32,+1.59,30.2,16.3,+14.0,+0.88,+0.22,Matches
80,Mickaël Alphonse\0a63446f,gp GLP,DF,Dijon,fr Ligue 1,30,1989,17,1378,81,54.7,15.3,15,89,14,2,19,6,0.88,11,23,-12,-0.78,-0.94,14.8,22.1,-7.3,-0.48,+0.06,Matches
81,Altube\e4cbb095,es ESP,GK,Real Madrid,es La Liga,19,2000,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
82,Sergio Álvarez\8875b8c9,es ESP,GK,Celta Vigo,es La Liga,32,1986,2,180,90,5.3,2.0,2,90,2,0,,18,1.25,5,4,+1,+0.50,+0.86,2.8,1.2,+1.6,+0.78,+0.94,Matches
83,Sergio Álvarez\88d91621,es ESP,MFDF,Eibar,es La Liga,27,1992,18,1147,64,33.5,12.7,14,78,8,4,15,9,1.28,14,19,-5,-0.39,+0.08,13.9,17.5,-3.6,-0.28,-0.04,Matches
84,Yeray Álvarez\3ecc11d8,es ESP,DF,Athletic Club,es La Liga,24,1995,32,2810,88,82.2,31.2,32,88,31,0,,4,1.38,36,27,+9,+0.29,+1.17,32.9,36.0,-3.1,-0.10,+0.57,Matches
85,Bruno Alves\585a73a8,pt POR,DF,Parma,it Serie A,37,1981,33,2671,81,78.1,29.7,31,85,27,2,14,0,1.33,39,44,-5,-0.17,-0.65,33.0,50.7,-17.8,-0.60,-0.87,Matches
86,Steven Alzate\ad1f61f3,co COL,MFDF,Brighton,eng Premier League,20,1998,19,1188,63,34.7,13.2,12,90,10,7,16,3,1.11,19,18,+1,+0.08,+0.72,16.1,18.4,-2.3,-0.17,+0.27,Matches
87,Ibrahim Amadou\9260926b,fr FRA,DFMF,Norwich City,eng Premier League,26,1993,11,759,69,22.2,8.4,8,84,7,3,28,9,0.73,8,20,-12,-1.42,-0.17,9.7,17.1,-7.4,-0.88,-0.32,Matches
88,Ibrahim Amadou\9260926b,fr FRA,MF,Leganés,es La Liga,26,1993,10,770,77,22.5,8.6,9,82,5,1,28,5,1.50,7,10,-3,-0.35,+0.26,7.3,8.4,-1.1,-0.12,-0.10,Matches
89,Romain Amalfitano\d7bf3d19,fr FRA,MF,Dijon,fr Ligue 1,29,1989,26,1695,65,67.3,18.8,18,83,12,8,24,2,1.04,18,25,-7,-0.37,-0.04,19.2,26.8,-7.6,-0.40,+0.31,Matches
90,Amath\f3b1d9a2,sn SEN,MF,Getafe,es La Liga,23,1996,7,66,9,1.9,0.7,0,,0,7,9,11,0.57,0,2,-2,-2.73,-2.94,0.9,2.9,-2.1,-2.84,-2.87,Matches
91,Jordan Amavi\22721b88,fr FRA,DF,Marseille,fr Ligue 1,25,1994,26,2164,83,85.9,24.0,24,88,23,2,24,1,2.04,36,22,+14,+0.58,+1.09,30.7,23.8,+6.9,+0.29,+0.95,Matches
92,Thierry Ambrose\2945f4b7,fr FRA,FW,Metz,fr Ligue 1,22,1997,18,548,30,21.7,6.1,4,78,1,14,17,8,1.06,6,10,-4,-0.66,-0.47,8.4,8.9,-0.5,-0.08,+0.21,Matches
93,Kelvin Amian\bcc81786,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,20,1633,82,64.8,18.1,17,90,17,3,34,0,0.60,20,43,-23,-1.27,+0.05,21.7,31.2,-9.5,-0.52,-0.06,Matches
94,Nadiem Amiri\555d5edd,de GER,MFDF,Leverkusen,de Bundesliga,22,1996,30,1857,62,60.7,20.6,22,79,11,8,15,4,1.70,31,25,+6,+0.29,-0.53,28.7,27.2,+1.5,+0.07,-0.67,Matches
95,Amores\5d2b36a4,es ESP,MF,Leganés,es La Liga,22,1997,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
96,Ethan Ampadu\10b9fa99,wls WAL,DF,RB Leipzig,de Bundesliga,18,2000,3,81,27,2.6,0.9,0,,0,3,27,17,3.00,3,1,+2,+2.22,+0.95,1.6,0.5,+1.1,+1.20,+0.19,Matches
97,Opoku Ampomah\e7199efb,gh GHA,FWMF,Düsseldorf,de Bundesliga,23,1996,12,500,42,16.3,5.6,5,70,1,7,21,8,0.50,3,16,-13,-2.34,-1.71,4.5,12.6,-8.0,-1.45,-0.91,Matches
98,Sofyan Amrabat\5a2cb25d,ma MAR,MF,Hellas Verona,it Serie A,22,1996,34,2919,86,85.4,32.4,33,87,22,1,42,0,1.29,40,46,-6,-0.18,-0.54,40.6,44.6,-4.0,-0.12,-0.24,Matches
99,Joseph Anang\21a866b7,gh GHA,GK,West Ham,eng Premier League,19,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
100,Joachim Andersen\e34fc66d,dk DEN,DF,Lyon,fr Ligue 1,23,1996,18,1531,85,60.8,17.0,17,90,17,1,0,10,1.56,29,17,+12,+0.71,+0.43,22.3,17.7,+4.6,+0.27,-0.33,Matches
101,Djavan Anderson\ca241ad3,nl NED,DFMF,Lazio,it Serie A,24,1995,6,167,28,4.9,1.9,2,65,0,4,10,11,1.67,3,3,0,0.00,-1.02,2.2,4.9,-2.7,-1.45,-2.04,Matches
102,Felipe Anderson\9f1893b9,br BRA,MFFW,West Ham,eng Premier League,26,1993,25,1497,60,43.8,16.6,20,73,6,5,9,4,0.88,21,27,-6,-0.36,-0.03,18.4,27.6,-9.3,-0.56,-0.29,Matches
103,Sebastian Andersson\b4cf5806,se SWE,FW,Union Berlin,de Bundesliga,28,1991,33,2682,81,87.6,29.8,31,85,19,2,20,0,1.15,34,52,-18,-0.60,-0.84,32.8,43.5,-10.7,-0.36,+0.23,Matches
104,Florin Andone\dc008610,ro ROU,MFFW,Brighton,eng Premier League,26,1993,3,73,24,2.1,0.8,1,29,0,2,22,0,1.33,2,0,+2,+2.47,+2.92,1.7,2.3,-0.6,-0.76,-0.41,Matches
105,Nícolas Andrade\326d09ef,br BRA,GK,Udinese,it Serie A,31,1988,0,,,,,0,,0,0,,38,,,,,,,,,,,,Matches
106,Benjamin André\ef9c1c95,fr FRA,MF,Lille,fr Ligue 1,28,1990,26,2054,79,81.5,22.8,23,87,19,3,14,0,1.88,30,21,+9,+0.39,+0.59,30.8,21.7,+9.1,+0.40,+0.23,Matches
107,Lorenzo Andrenacci\fe471a89,it ITA,GK,Brescia,it Serie A,24,1995,6,531,89,15.5,5.9,5,90,5,1,81,20,0.17,4,16,-12,-2.03,-1.04,6.2,15.3,-9.1,-1.55,-0.73,Matches
108,Robert Andrich\e0b113a7,de GER,MF,Union Berlin,de Bundesliga,24,1994,30,2572,86,84.1,28.6,30,86,23,0,,0,1.07,33,51,-18,-0.63,-0.81,31.9,43.9,-11.9,-0.42,-0.19,Matches
109,Victorien Angban\d8992b84,ci CIV,MF,Metz,fr Ligue 1,22,1996,20,1029,51,40.8,11.4,11,84,8,9,12,3,1.30,11,13,-2,-0.17,+0.19,10.9,14.1,-3.2,-0.28,-0.05,Matches
110,Miguel Ángel Guerrero\b35db3f6,es ESP,FW,Leganés,es La Liga,29,1990,13,790,61,23.1,8.8,9,75,3,4,30,3,1.08,9,11,-2,-0.23,+0.42,10.7,7.1,+3.6,+0.41,+0.59,Matches
111,Miguel Ángel Moyá\011d8c56,es ESP,GK,Real Sociedad,es La Liga,35,1984,13,1170,90,34.2,13.0,13,90,13,0,,22,1.46,18,16,+2,+0.15,-0.09,12.8,11.5,+1.3,+0.10,-0.09,Matches
112,José Ángel\3024e383,es ESP,DF,Eibar,es La Liga,29,1989,28,2360,84,69.0,26.2,27,86,24,1,26,4,1.18,26,37,-11,-0.42,+0.09,29.2,34.7,-5.5,-0.21,+0.14,Matches
113,Angeliño\30941e96,es ESP,DF,RB Leipzig,de Bundesliga,22,1997,13,1095,84,35.8,12.2,12,89,11,1,25,1,1.69,22,11,+11,+0.90,-0.61,20.7,13.5,+7.2,+0.59,-0.68,Matches
114,Angeliño\30941e96,es ESP,DF,Manchester City,eng Premier League,22,1997,6,423,71,12.4,4.7,4,90,4,2,32,9,2.00,11,7,+4,+0.85,-1.04,10.8,4.5,+6.3,+1.35,-0.21,Matches
115,Faustino Anjorin\b105919e,eng ENG,FW,Chelsea,eng Premier League,17,2001,1,20,20,0.6,0.2,0,,0,1,20,0,3.00,0,0,0,0.00,-0.40,0.1,0.1,0.0,+0.15,-0.61,Matches
116,Peter Ankersen\df525574,dk DEN,DF,Genoa,it Serie A,28,1990,19,1063,56,31.1,11.8,11,78,6,8,26,13,1.05,15,18,-3,-0.25,+0.62,14.3,18.3,-4.0,-0.34,-0.04,Matches
117,Cristian Ansaldi\bbafc0c4,ar ARG,DFMF,Torino,it Serie A,32,1986,27,1768,65,51.7,19.6,21,78,11,6,23,2,1.00,26,31,-5,-0.25,+0.67,22.8,30.7,-7.9,-0.40,+0.28,Matches
118,Janis Antiste\38d9ce53,fr FRA,MF,Toulouse,fr Ligue 1,16,2002,1,12,12,0.5,0.1,0,,0,1,11,0,0.00,0,0,0,0.00,+1.29,0.2,0.1,+0.2,+1.29,+1.80,Matches
119,Michail Antonio\ac05f970,jm JAM,FW,West Ham,eng Premier League,29,1990,24,1768,74,51.7,19.6,19,82,12,5,41,0,1.08,31,30,+1,+0.05,+0.81,26.8,28.2,-1.4,-0.07,+0.66,Matches
120,Antoñito\dbe519cf,es ESP,DFMF,Valladolid,es La Liga,31,1987,15,1029,69,30.1,11.4,11,87,9,4,19,12,1.00,10,13,-3,-0.26,+0.04,11.1,13.0,-1.9,-0.17,+0.16,Matches
121,Mirko Antonucci\91976866,it ITA,FWMF,Roma,it Serie A,20,1999,2,82,41,2.4,0.9,0,,0,2,41,16,2.00,2,1,+1,+1.10,+0.42,1.0,0.9,+0.2,+0.20,-0.45,Matches
122,Vitorino Antunes\3e4f735d,pt POR,MF,Getafe,es La Liga,32,1987,1,6,6,0.2,0.1,0,,0,1,6,5,3.00,0,0,0,0.00,-0.16,0.0,0.1,-0.1,-1.48,-1.45,Matches
