Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
144,Luca Plogmann\206c37d3,de GER,GK,Werder Bremen,de Bundesliga,18,2000,1,0,37,0.4,1,2.43,0,0,,0,0,0,0,,1,1,0,0,0.0,Matches
145,Giacomo Poluzzi\07f55871,it ITA,GK,SPAL,it Serie A,30,1988,1,0,5,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,Matches
146,Gaëtan Poussin\c252c705,fr FRA,GK,Bordeaux,fr Ligue 1,19,1999,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
147,Silvio Proto\c8a88acd,be BEL,GK,Lazio,it Serie A,35,1983,2,2,180,2.0,4,2.00,13,9,69.2,1,0,1,0,0.0,0,0,0,0,,Matches
148,Ivan Provedel\277da414,it ITA,GK,Empoli,it Serie A,24,1994,16,16,1440,16.0,36,2.25,101,69,67.3,4,4,8,0,0.0,4,3,0,1,0.0,Matches
149,Ionuț Radu\67f649be,ro ROU,GK,Genoa,it Serie A,21,1997,33,33,2970,33.0,46,1.39,142,102,71.1,6,14,13,6,18.2,6,5,1,0,16.7,Matches
150,Pepe Reina\e358587b,es ESP,GK,Milan,it Serie A,35,1982,4,2,328,3.7,5,1.37,12,8,66.7,1,0,1,1,50.0,1,1,0,0,0.0,Matches
151,Michael Rensing\c476b0c0,de GER,GK,Düsseldorf,de Bundesliga,34,1984,32,32,2880,32.0,62,1.94,164,107,66.5,12,5,15,5,15.6,7,7,0,0,0.0,Matches
152,Baptiste Reynet\bcf1b2e9,fr FRA,GK,Toulouse,fr Ligue 1,27,1990,31,31,2704,30.0,46,1.53,140,99,70.0,6,11,14,6,19.4,5,4,1,0,20.0,Matches
153,Sergio Rico\5f0241b2,es ESP,GK,Fulham,eng Premier League,24,1993,29,29,2610,29.0,56,1.93,161,110,67.7,6,3,20,5,17.2,4,4,0,0,0.0,Matches
154,Asier Riesgo\581c5276,es ESP,GK,Eibar,es La Liga,34,1983,15,14,1260,14.0,20,1.43,45,26,55.6,2,8,4,4,28.6,0,0,0,0,,Matches
155,Joel Robles\cda0b317,es ESP,GK,Betis,es La Liga,28,1990,5,5,450,5.0,5,1.00,21,17,81.0,2,1,2,1,20.0,1,1,0,0,0.0,Matches
156,Francesco Rossi\7b5f516f,it ITA,GK,Atalanta,it Serie A,27,1991,1,0,,0.0,0,,0,0,,0,0,0,0,,0,0,0,0,,Matches
157,John Ruddy\da8b19e2,eng ENG,GK,Wolves,eng Premier League,31,1986,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
158,Stéphane Ruffier\cac76a72,fr FRA,GK,Saint-Étienne,fr Ligue 1,31,1986,37,37,3330,37.0,40,1.08,147,114,77.6,19,8,10,13,35.1,9,7,1,1,12.5,Matches
159,Gerónimo Rulli\625c144a,ar ARG,GK,Real Sociedad,es La Liga,26,1992,27,27,2430,27.0,35,1.30,108,77,69.4,10,9,8,7,25.9,3,2,1,0,33.3,Matches
160,Mathew Ryan\4535e4bb,au AUS,GK,Brighton,eng Premier League,26,1992,34,34,3060,34.0,55,1.62,141,94,66.7,8,8,18,6,17.6,8,8,0,0,0.0,Matches
161,Frederik Rønnow\a70b8345,dk DEN,GK,Eint Frankfurt,de Bundesliga,25,1992,2,1,122,1.4,0,0.00,8,8,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
162,Samuel Şahin-Radlinger\e385200c,at AUT,GK,Hannover 96,de Bundesliga,25,1992,1,1,90,1.0,2,2.00,6,4,66.7,0,0,1,0,0.0,0,0,0,0,,Matches
163,Brice Samba\60d90c55,cg CGO,GK,Caen,fr Ligue 1,24,1994,38,38,3420,38.0,54,1.42,182,134,73.6,7,12,19,9,23.7,8,6,2,0,25.0,Matches
164,Roberto Santamaría\bca21ef3,es ESP,GK,Huesca,es La Liga,33,1985,20,20,1800,20.0,30,1.50,89,64,73.0,5,7,8,6,30.0,6,6,0,0,0.0,Matches
165,Kasper Schmeichel\53af52f3,dk DEN,GK,Leicester City,eng Premier League,31,1986,38,38,3420,38.0,48,1.26,135,92,68.1,15,7,16,10,26.3,5,5,0,0,0.0,Matches
166,Alexander Schwolow\0d55d942,de GER,GK,Freiburg,de Bundesliga,26,1992,33,33,2970,33.0,60,1.82,162,108,67.3,7,12,14,5,15.2,7,7,0,0,0.0,Matches
167,Simone Scuffet\41bd99ea,it ITA,GK,Udinese,it Serie A,22,1996,9,9,810,9.0,13,1.44,36,24,66.7,2,2,5,2,22.2,1,1,0,0,0.0,Matches
168,Andrea Seculin\c4f573f4,it ITA,GK,Chievo,it Serie A,28,1990,2,1,90,1.0,6,6.00,12,5,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
169,Matz Sels\834b5c4c,be BEL,GK,Strasbourg,fr Ligue 1,26,1992,37,37,3330,37.0,48,1.30,151,111,72.8,10,16,11,8,21.6,9,7,2,0,22.2,Matches
170,Adrian Šemper\f02dde20,hr CRO,GK,Chievo,it Serie A,20,1998,6,6,540,6.0,8,1.33,31,23,74.2,1,3,2,2,33.3,0,0,0,0,,Matches
171,Luigi Sepe\343f753a,it ITA,GK,Parma,it Serie A,27,1991,37,37,3330,37.0,59,1.59,191,144,73.3,10,11,16,10,27.0,8,8,0,0,0.0,Matches
172,Unai Simón\5dcf3e90,es ESP,GK,Athletic Club,es La Liga,21,1997,7,7,630,7.0,13,1.86,31,20,64.5,1,4,2,0,0.0,2,2,0,0,0.0,Matches
173,Salvatore Sirigu\10dc46f0,it ITA,GK,Torino,it Serie A,31,1987,36,36,3170,35.2,35,0.99,136,103,75.7,15,14,7,14,38.9,4,2,2,0,50.0,Matches
174,Antonio Sivera\9970da54,es ESP,GK,Alavés,es La Liga,21,1996,3,3,270,3.0,4,1.33,14,10,71.4,2,0,1,0,0.0,0,0,0,0,,Matches
175,Łukasz Skorupski\ab4449d6,pl POL,GK,Bologna,it Serie A,27,1991,38,38,3420,38.0,56,1.47,173,121,69.9,11,11,16,10,26.3,4,4,0,0,0.0,Matches
176,Yann Sommer\420c18a1,ch SUI,GK,M'Gladbach,de Bundesliga,29,1988,34,34,3060,34.0,43,1.26,154,115,74.0,16,7,11,13,38.2,3,3,0,0,0.0,Matches
177,David Soria\8f8c6934,es ESP,GK,Getafe,es La Liga,25,1993,37,37,3330,37.0,34,0.92,127,100,76.4,14,14,9,13,35.1,7,4,2,1,33.3,Matches
178,Juan Soriano\5512b1a9,es ESP,GK,Sevilla,es La Liga,20,1997,4,4,359,4.0,2,0.50,11,10,90.9,4,0,0,3,75.0,1,1,0,0,0.0,Matches
179,Stefano Sorrentino\048877f5,it ITA,GK,Chievo,it Serie A,39,1979,31,31,2790,31.0,61,1.97,167,111,64.7,1,11,19,5,16.1,4,2,2,0,50.0,Matches
180,Julián Speroni\8e65a5e5,ar ARG,GK,Crystal Palace,eng Premier League,39,1979,1,1,90,1.0,4,4.00,9,5,55.6,0,0,1,0,0.0,0,0,0,0,,Matches
181,Marco Sportiello\ac4003af,it ITA,GK,Frosinone,it Serie A,26,1992,35,35,3150,35.0,64,1.83,198,140,70.2,5,9,21,8,22.9,5,5,0,0,0.0,Matches
182,Thomas Strakosha\339fe0e8,al ALB,GK,Lazio,it Serie A,23,1995,35,35,3150,35.0,39,1.11,129,96,73.6,16,7,12,10,28.6,7,5,2,0,28.6,Matches
183,Danijel Subašić\f6db3bd5,hr CRO,GK,Monaco,fr Ligue 1,33,1984,14,14,1138,12.6,12,0.95,36,26,72.2,4,5,5,4,28.6,3,2,1,0,33.3,Matches
184,Seydou Sy\8417953b,sn SEN,GK,Monaco,fr Ligue 1,22,1995,3,2,225,2.5,7,2.80,12,6,41.7,0,1,1,0,0.0,0,0,0,0,,Matches
185,Wojciech Szczęsny\01b8a2b2,pl POL,GK,Juventus,it Serie A,28,1990,28,28,2520,28.0,20,0.71,78,59,75.6,22,5,1,11,39.3,3,1,1,1,50.0,Matches
186,Ciprian Tătărușanu\b056e3da,ro ROU,GK,Nantes,fr Ligue 1,32,1986,27,27,2391,26.6,30,1.13,95,67,69.5,8,6,13,7,25.9,4,1,3,0,75.0,Matches
187,Marc-André ter Stegen\6f51e382,de GER,GK,Barcelona,es La Liga,26,1992,35,35,3150,35.0,32,0.91,116,86,73.3,25,8,2,16,45.7,1,1,0,0,0.0,Matches
188,Pietro Terracciano\e1b0a70d,it ITA,GK,Empoli,it Serie A,28,1990,8,8,720,8.0,10,1.25,34,25,70.6,1,2,5,2,25.0,0,0,0,0,,Matches
189,Pietro Terracciano\e1b0a70d,it ITA,GK,Fiorentina,it Serie A,28,1990,2,2,180,2.0,3,1.50,11,7,72.7,0,1,1,0,0.0,0,0,0,0,,Matches
190,Kevin Trapp\ce17b5eb,de GER,GK,Eint Frankfurt,de Bundesliga,28,1990,33,33,2938,32.6,48,1.47,159,113,70.4,14,9,10,8,24.2,1,1,0,0,0.0,Matches
191,Mark Travers\fe558029,ie IRL,GK,Bournemouth,eng Premier League,19,1999,2,2,180,2.0,5,2.50,13,9,61.5,1,0,1,1,50.0,0,0,0,0,,Matches
192,Philipp Tschauner\73e2f6eb,de GER,GK,Hannover 96,de Bundesliga,32,1985,1,1,90,1.0,3,3.00,5,3,60.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches
193,Sven Ulreich\7d3e7da6,de GER,GK,Bayern Munich,de Bundesliga,29,1988,9,8,757,8.4,9,1.07,20,13,65.0,4,3,1,2,25.0,3,2,0,1,0.0,Matches
194,Tomáš Vaclík\7b456af7,cz CZE,GK,Sevilla,es La Liga,29,1989,33,33,2970,33.0,44,1.33,134,95,70.1,13,8,12,8,24.2,5,4,1,0,20.0,Matches
195,Koke Vegas\bfb15d99,es ESP,GK,Levante,es La Liga,22,1995,1,1,90,1.0,2,2.00,8,6,75.0,0,1,0,0,0.0,0,0,0,0,,Matches
196,Emiliano Viviano\03760df0,it ITA,GK,SPAL,it Serie A,32,1985,17,17,1525,16.9,25,1.48,82,60,74.4,7,3,7,4,23.5,4,4,0,0,0.0,Matches
197,Michel Vorm\1bebde9d,nl NED,GK,Tottenham,eng Premier League,34,1983,2,2,180,2.0,4,2.00,13,9,69.2,0,0,2,0,0.0,0,0,0,0,,Matches
198,Axel Werner\c0b1a6da,ar ARG,GK,Huesca,es La Liga,22,1996,6,6,540,6.0,16,2.67,35,21,57.1,1,1,4,0,0.0,1,1,0,0,0.0,Matches
199,Yoel\61bb7498,es ESP,GK,Valladolid,es La Liga,29,1988,3,3,270,3.0,6,2.00,11,6,54.5,0,2,1,0,0.0,1,1,0,0,0.0,Matches
200,Robin Zentner\5c4bf6ba,de GER,GK,Mainz 05,de Bundesliga,23,1994,10,10,900,10.0,14,1.40,51,37,72.5,4,4,2,2,20.0,0,0,0,0,,Matches
201,Luca Zidane\c818c4d9,fr FRA,GK,Real Madrid,es La Liga,20,1998,1,1,90,1.0,2,2.00,3,1,33.3,1,0,0,0,0.0,0,0,0,0,,Matches
202,Ron-Robert Zieler\a0606ae8,de GER,GK,Stuttgart,de Bundesliga,29,1989,34,34,3060,34.0,70,2.06,178,114,61.8,7,7,20,6,17.6,3,2,0,1,0.0,Matches
