Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Ismael Aaneba\a7e4760c,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,80,122,65.6,1603,786,33,40,82.5,36,59,61.0,11,18,61.1,0,0.5,-0.5,1,6,2,2,12,Matches
2,Patrick van Aanholt\5f09991f,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,1596,1973,80.9,26721,11614,813,925,87.9,610,737,82.8,146,246,59.3,2,3.5,-1.5,31,114,63,10,216,Matches
3,Ignazio Abate\1c529186,it ITA,DF,Milan,it Serie A,31,1986,14.5,766,918,83.4,14840,5802,301,325,92.6,358,401,89.3,100,167,59.9,0,0.3,-0.3,7,73,13,4,77,Matches
4,Issah Abbas\2590ddf7,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,0.1,1,2,50.0,32,9,0,1,0.0,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
5,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,fr Ligue 1,30,1987,38.0,1318,1576,83.6,30166,10127,286,339,84.4,758,818,92.7,269,394,68.3,0,0.1,-0.1,3,51,3,0,59,Matches
6,Mehdi Abeid\a4c3f7af,dz ALG,MF,Dijon,fr Ligue 1,25,1992,22.5,919,1081,85.0,17137,3889,403,438,92.0,377,431,87.5,121,183,66.1,0,1.5,-1.5,23,87,11,2,72,Matches
7,Charles Abi\469d3d84,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18,2000,0.4,6,16,37.5,58,15,5,7,71.4,1,4,25.0,0,3,0.0,0,0.0,0.0,0,0,2,0,2,Matches
8,David Abraham\565bf0da,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,520,671,77.5,12124,4564,141,171,82.5,243,288,84.4,132,199,66.3,0,0.1,-0.1,3,58,7,3,66,Matches
9,Amir Abrashi\1c08a3c8,al ALB,MF,Freiburg,de Bundesliga,28,1990,8.8,333,384,86.7,5636,968,153,174,87.9,150,162,92.6,26,34,76.5,0,0.1,-0.1,2,22,1,0,16,Matches
10,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,it Serie A,30,1988,36.8,1554,1787,87.0,33525,10694,443,500,88.6,810,875,92.6,287,389,73.8,1,0.6,+0.4,8,112,6,2,94,Matches
11,Afriyie Acquah\d7403bd5,gh GHA,MF,Empoli,it Serie A,26,1992,16.8,591,735,80.4,10181,2575,279,311,89.7,266,316,84.2,43,84,51.2,0,0.6,-0.6,11,64,14,3,60,Matches
12,Tyler Adams\2b09d998,us USA,MF,RB Leipzig,de Bundesliga,19,1999,8.0,416,516,80.6,6997,2224,208,249,83.5,162,193,83.9,40,56,71.4,2,0.7,+1.3,5,49,4,0,52,Matches
13,Antonio Adán\65d62814,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1.0,12,24,50.0,369,247,1,1,100.0,6,6,100.0,5,17,29.4,0,0.0,0.0,0,0,0,0,0,Matches
