Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
41,David Alaba\05439de2,at AUT,DF,Bayern Munich,de Bundesliga,26,1992,28.1,2137,1846,291,27,7,397,48,103,5,0,0,0,1463,314,360,1606,203,52,259,1,1768,10,32,29,61,Matches
42,Sofiane Alakouch\5314e067,ma MAR,DF,Nîmes,fr Ligue 1,20,1998,21.1,1104,858,246,6,3,155,8,26,0,0,0,0,598,267,239,72,737,47,239,3,837,4,27,18,42,Matches
43,Lucas Alario\834d0be5,ar ARG,FW,Leverkusen,de Bundesliga,25,1992,14.1,391,373,18,1,1,83,5,9,0,0,0,0,262,87,42,50,282,29,1,7,304,1,6,10,11,Matches
44,Jordi Alba\4601e194,es ESP,DF,Barcelona,es La Liga,29,1989,33.2,2686,2366,320,52,1,356,35,85,1,0,0,0,1995,414,277,2002,334,70,267,7,2305,6,24,60,71,Matches
45,Luis Alberto\5294a83f,es ESP,MFFW,Lazio,it Serie A,25,1992,22.1,1479,1247,232,50,9,285,76,42,135,17,22,8,999,165,315,68,1343,27,26,7,1121,9,22,40,39,Matches
46,Raúl Albiol\4bd414c1,es ESP,DF,Napoli,it Serie A,32,1985,19.0,1126,1094,32,32,1,117,54,3,0,0,0,0,820,112,194,134,917,45,0,5,1000,1,18,3,11,Matches
47,Miiko Albornoz\d459281d,cl CHI,DFMF,Hannover 96,de Bundesliga,27,1990,18.4,972,765,207,18,0,126,21,44,2,0,1,0,489,234,249,628,98,50,187,3,725,6,24,17,34,Matches
48,Marc Albrighton\b827d5b3,eng ENG,FWMF,Leicester City,eng Premier League,28,1989,18.1,771,737,34,6,1,192,38,83,10,2,2,1,412,116,243,59,657,28,17,2,458,11,23,28,64,Matches
49,Paco Alcácer\a7a9d95a,es ESP,FW,Dortmund,de Bundesliga,24,1993,13.5,274,246,28,0,1,46,0,6,0,0,0,0,186,49,39,43,212,14,1,1,210,2,3,6,5,Matches
50,Pedro Alcalá\ba71d071,es ESP,DF,Girona,es La Liga,29,1989,20.8,843,797,46,46,0,102,37,3,0,0,0,0,575,93,175,38,729,54,0,2,698,1,31,12,6,Matches
51,Thiago Alcántara\77e84962,es ESP,MF,Bayern Munich,de Bundesliga,27,1991,26.8,2573,2431,142,72,4,360,143,16,61,19,1,14,1866,281,426,144,2299,81,8,19,2327,3,33,26,20,Matches
52,Rubén Alcaraz\036bba5f,es ESP,MF,Valladolid,es La Liga,27,1991,33.1,1748,1641,107,91,0,301,120,19,16,4,3,1,1195,177,376,236,1395,90,0,8,1435,6,43,17,26,Matches
53,Toby Alderweireld\f7d50789,be BEL,DF,Tottenham,eng Premier League,29,1989,32.5,2336,2253,83,75,3,173,106,5,0,0,0,0,1700,185,451,445,1761,101,8,9,2077,7,41,17,10,Matches
54,Álex Alegría\46166b49,es ESP,FWMF,Rayo Vallecano,es La Liga,25,1992,1.6,38,35,3,0,0,9,1,1,0,0,0,0,20,12,6,12,18,3,0,0,24,0,0,1,4,Matches
55,Alexis Alegue\0f4c0bad,fr FRA,FW,Nantes,fr Ligue 1,21,1996,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,Matches
56,Iván Alejo\3d7e48ce,es ESP,MFFW,Getafe,es La Liga,23,1995,1.6,41,36,5,3,0,11,0,2,0,0,0,0,20,9,12,6,27,4,2,0,16,1,4,1,5,Matches
57,Carles Aleñá\6c811eb7,es ESP,MF,Barcelona,es La Liga,20,1998,7.1,587,575,12,5,1,106,13,1,1,0,0,0,497,59,31,545,29,4,6,1,540,2,4,6,9,Matches
58,Rúnar Alex Rúnarsson\8fa8f8d2,is ISL,GK,Dijon,fr Ligue 1,23,1995,25.0,831,554,277,74,0,48,36,0,0,0,0,0,391,37,403,75,618,3,0,105,581,3,30,1,4,Matches
59,Alexander\3e1858af,ar ARG,DF,Leganés,es La Liga,29,1988,0.1,7,5,2,1,0,0,0,1,1,0,1,0,4,0,3,7,0,0,0,0,4,0,0,0,0,Matches
60,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,eng Premier League,19,1998,27.4,2222,1781,441,46,5,288,114,114,73,24,21,2,1160,330,732,182,1668,46,322,2,1655,12,67,38,82,Matches
61,Rachid Alioui\bdedd861,ma MAR,FW,Nîmes,fr Ligue 1,26,1992,13.9,383,364,19,0,0,104,8,23,0,0,0,0,233,88,62,67,244,36,4,6,273,0,15,9,11,Matches
62,Alisson\7a2e46a8,br BRA,GK,Liverpool,eng Premier League,25,1992,38.0,1268,970,298,85,0,146,66,0,0,0,0,0,801,95,372,99,930,1,0,196,1047,2,32,8,2,Matches
63,Bobby Allain\8870154f,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13.0,466,290,176,50,0,29,7,0,0,0,0,0,149,12,305,27,342,0,0,71,288,0,24,1,0,Matches
64,Allan\cc700722,br BRA,MF,Napoli,it Serie A,27,1991,29.1,2235,2128,107,69,12,271,43,9,1,0,0,0,1644,307,284,152,2006,48,17,9,1981,13,21,38,43,Matches
65,Allan\b15e93aa,br BRA,MFDF,Eint Frankfurt,de Bundesliga,21,1997,2.0,65,63,2,1,0,10,1,1,0,0,0,0,41,13,11,48,8,5,0,2,43,0,3,4,0,Matches
66,Dele Alli\cea4ee8f,eng ENG,MF,Tottenham,eng Premier League,22,1996,20.3,1050,1015,35,10,14,207,18,19,3,0,1,0,807,108,135,47,938,37,11,7,838,7,14,32,37,Matches
67,Miguel Almirón\862a1c15,py PAR,FWMF,Newcastle Utd,eng Premier League,24,1994,8.4,260,256,4,0,2,71,13,19,1,0,1,0,189,40,31,235,11,9,1,2,188,0,5,7,15,Matches
68,Júnior Alonso\b18a3023,py PAR,DFMF,Celta Vigo,es La Liga,25,1993,6.0,319,288,31,4,1,34,10,13,0,0,0,0,186,56,77,217,39,26,27,1,237,1,10,5,11,Matches
69,Marcos Alonso\f4290206,es ESP,DF,Chelsea,eng Premier League,27,1990,30.7,2222,1935,287,26,3,343,48,79,0,0,0,0,1535,370,317,1668,176,75,261,7,1843,4,40,57,58,Matches
70,Mickaël Alphonse\0a63446f,gp GLP,DF,Dijon,fr Ligue 1,29,1989,6.3,307,246,61,6,0,32,1,15,0,0,0,0,153,36,118,23,199,22,55,1,197,0,12,2,13,Matches
71,Sergio Álvarez\8875b8c9,es ESP,GK,Celta Vigo,es La Liga,31,1986,13.0,444,296,148,24,0,45,8,0,0,0,0,0,182,15,247,49,330,0,0,43,293,4,8,4,1,Matches
72,Sergio Álvarez\88d91621,es ESP,MFDF,Eibar,es La Liga,26,1992,11.9,496,488,8,8,0,69,12,1,0,0,0,0,329,56,111,57,377,41,0,2,404,2,12,5,3,Matches
73,Yeray Álvarez\3ecc11d8,es ESP,DF,Athletic Club,es La Liga,23,1995,29.0,1247,1190,57,52,1,143,31,3,0,0,0,0,873,110,264,85,1045,86,4,5,1027,3,31,15,9,Matches
74,Bruno Alves\585a73a8,pt POR,DF,Parma,it Serie A,36,1981,32.5,1204,1132,72,69,0,168,66,16,0,0,0,0,695,168,341,132,914,106,0,10,963,12,26,10,12,Matches
75,Dani Alves\c9e99e49,br BRA,MFDF,Paris S-G,fr Ligue 1,35,1983,18.0,1589,1505,84,17,18,360,42,45,6,0,0,0,1167,195,227,164,1328,29,61,3,1327,11,28,27,45,Matches
76,Alfons Amade\d73a07e2,de GER,MF,Hoffenheim,de Bundesliga,18,1999,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,Matches
77,Ibrahim Amadou\9260926b,fr FRA,MFDF,Sevilla,es La Liga,25,1993,8.5,365,358,7,6,0,89,11,2,0,0,0,0,264,49,52,49,278,23,0,2,313,2,7,3,13,Matches
78,Romain Amalfitano\d7bf3d19,fr FRA,MFFW,Dijon,fr Ligue 1,28,1989,28.0,1071,1050,21,9,4,182,53,17,0,0,0,0,721,125,225,116,887,43,12,4,839,5,24,16,24,Matches
79,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,eng Premier League,23,1994,7.1,438,379,59,4,0,44,5,3,0,0,0,0,285,65,88,37,316,22,55,4,367,1,8,10,3,Matches
80,Jordi Amat\d70a2141,es ESP,DF,Rayo Vallecano,es La Liga,26,1992,30.7,1289,1216,73,66,0,179,59,1,0,0,0,0,936,137,216,263,917,86,7,3,1081,6,31,11,17,Matches
81,Amath\f3b1d9a2,sn SEN,MFFW,Getafe,es La Liga,22,1996,11.1,217,215,2,0,0,36,3,18,1,0,0,0,143,33,41,55,133,17,0,4,151,5,5,10,10,Matches
82,Jordan Amavi\22721b88,fr FRA,DF,Marseille,fr Ligue 1,24,1994,24.2,1295,1051,244,19,1,243,24,62,0,0,0,0,713,235,347,698,236,92,225,2,967,3,36,23,51,Matches
83,Kelvin Amian\bcc81786,fr FRA,DF,Toulouse,fr Ligue 1,20,1998,32.0,1188,956,232,30,1,191,20,17,0,0,0,0,714,211,263,158,749,50,202,1,938,4,29,27,27,Matches
84,Nadiem Amiri\555d5edd,de GER,MFFW,Hoffenheim,de Bundesliga,21,1996,8.4,382,370,12,5,0,71,4,13,1,1,0,0,279,68,35,54,306,14,6,1,327,1,1,5,8,Matches
85,Yanis Ammour\aeed036d,fr FRA,MF,Montpellier,fr Ligue 1,19,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
86,Luke Amos\77128f7e,eng ENG,MF,Tottenham,eng Premier League,21,1997,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,Matches
87,Joachim Andersen\e34fc66d,dk DEN,DF,Sampdoria,it Serie A,22,1996,32.0,2048,1957,91,89,0,284,118,1,0,0,0,0,1551,174,323,350,1546,100,2,5,1816,3,35,22,14,Matches
88,Felipe Anderson\9f1893b9,br BRA,MFFW,West Ham,eng Premier League,25,1993,33.8,1814,1683,131,56,11,316,84,80,46,8,12,1,1211,260,343,194,1537,42,26,9,1327,10,28,71,101,Matches
89,Florin Andone\dc008610,ro ROU,FW,Brighton,eng Premier League,25,1993,9.8,178,172,6,0,0,48,2,9,0,0,0,0,105,36,37,19,112,22,0,2,122,0,7,5,10,Matches
90,Benjamin André\ef9c1c95,fr FRA,MF,Rennes,fr Ligue 1,27,1990,27.7,1479,1444,35,27,3,336,24,11,0,0,0,0,1019,233,227,187,1105,90,1,7,1182,10,30,39,33,Matches
91,Marco Andreolli\13d820de,it ITA,DF,Cagliari,it Serie A,32,1986,1.2,69,69,0,0,0,6,0,0,0,0,0,0,54,4,11,9,54,6,0,0,62,0,1,0,1,Matches
92,Marco Andreolli\13d820de,it ITA,DF,Chievo,it Serie A,32,1986,7.2,233,226,7,7,0,40,6,0,0,0,0,0,153,22,58,51,160,10,0,2,191,1,9,0,1,Matches
93,Yoann Andreu\872cd68c,fr FRA,DF,Angers,fr Ligue 1,29,1989,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,Matches
94,Miguel Ángel Moyá\011d8c56,es ESP,GK,Real Sociedad,es La Liga,34,1984,11.0,362,258,104,27,0,17,9,0,0,0,0,0,189,21,152,45,266,0,0,33,292,2,7,1,0,Matches
95,José Ángel\3024e383,es ESP,DF,Eibar,es La Liga,28,1989,33.6,2147,1628,519,65,3,307,132,142,46,1,14,0,756,394,997,1429,176,100,408,10,1403,12,81,35,72,Matches
96,Cristian Ansaldi\bbafc0c4,ar ARG,DFMF,Torino,it Serie A,31,1986,20.1,878,675,203,31,0,122,82,131,24,1,3,0,391,136,351,355,361,12,147,1,579,7,23,18,26,Matches
97,Mirco Antenucci\43a2e16c,it ITA,FW,SPAL,it Serie A,33,1984,23.7,563,523,40,1,1,132,3,29,0,0,0,0,404,98,61,74,419,30,4,13,425,0,7,15,29,Matches
98,Waldemar Anton\5e66fa06,de GER,DF,Hannover 96,de Bundesliga,22,1996,34.0,1704,1628,76,64,1,243,58,2,0,0,0,0,1250,180,274,280,1262,112,12,6,1434,3,36,11,40,Matches
99,Luca Antonelli\40f0ed6c,it ITA,DFMF,Empoli,it Serie A,31,1987,8.4,379,326,53,8,0,31,5,9,0,0,0,0,240,52,87,238,80,14,45,0,273,4,9,8,14,Matches
100,Mauro Antonio Burruchaga\0830a4f9,ar ARG,MF,Chievo,it Serie A,20,1998,0.6,37,35,2,2,0,11,0,0,0,0,0,0,27,6,4,27,9,0,0,0,31,0,1,1,1,Matches
101,Michail Antonio\ac05f970,jm JAM,FWMF,West Ham,eng Premier League,28,1990,23.4,768,711,57,1,6,176,24,47,0,0,0,0,438,147,183,79,523,57,53,11,507,2,24,32,41,Matches
102,Antoñito\dbe519cf,es ESP,DFMF,Valladolid,es La Liga,30,1987,20.7,902,743,159,9,0,128,20,65,0,0,0,0,475,208,219,74,645,26,150,2,671,5,20,15,36,Matches
103,Vitorino Antunes\3e4f735d,pt POR,DF,Getafe,es La Liga,31,1987,24.2,1178,814,364,62,2,127,59,83,47,1,5,2,398,279,501,764,77,71,255,1,713,8,49,36,53,Matches
104,Anuar\c93231dc,ma MAR,MF,Valladolid,es La Liga,23,1995,12.0,401,390,11,5,0,81,10,4,4,0,2,1,263,60,78,35,305,43,0,2,306,4,12,7,11,Matches
105,Dennis Aogo\c311243f,de GER,MF,Stuttgart,de Bundesliga,31,1987,11.4,565,509,56,21,0,77,32,16,25,0,0,0,361,73,131,462,54,31,9,4,465,3,7,3,12,Matches
106,Houssem Aouar\a5db0bec,fr FRA,MF,Lyon,fr Ligue 1,20,1998,34.0,2069,2035,34,23,11,321,58,12,2,0,0,0,1736,191,142,159,1854,38,8,4,1801,4,21,42,47,Matches
107,Emmanuel Apeh\a230ebcc,ng NGA,MF,Celta Vigo,es La Liga,21,1996,0.2,7,7,0,0,0,1,0,0,0,0,0,0,5,2,0,2,5,0,0,0,6,0,0,0,1,Matches
108,Mauro Arambarri\58afe001,uy URU,MF,Getafe,es La Liga,22,1995,29.7,804,775,29,19,0,146,65,18,2,0,2,0,369,136,299,98,597,67,3,6,560,7,23,14,25,Matches
109,Guilherme Arana\2b15a82a,br BRA,MFDF,Sevilla,es La Liga,21,1997,7.0,295,242,53,5,0,54,3,10,0,0,0,0,194,57,44,212,22,10,48,1,239,2,6,5,15,Matches
110,Charles Aránguiz\56413b1f,cl CHI,MF,Leverkusen,de Bundesliga,29,1989,21.0,1647,1596,51,37,10,251,31,10,11,0,3,1,1270,190,187,196,1371,50,3,17,1449,8,15,24,26,Matches
111,Luiz Araújo\fa18c72e,br BRA,FWMF,Lille,fr Ligue 1,22,1996,8.7,311,284,27,10,1,72,18,17,10,2,4,0,200,40,71,253,41,7,7,1,232,5,6,5,9,Matches
112,Néstor Araujo\27a013f7,mx MEX,DF,Celta Vigo,es La Liga,26,1991,29.8,1478,1432,46,41,1,195,25,3,0,0,0,0,1156,119,203,200,1159,83,5,2,1299,3,17,11,10,Matches
113,Anaitz Arbilla\850c0a0d,es ESP,DF,Eibar,es La Liga,31,1987,21.7,1094,1033,61,39,0,123,79,7,0,0,0,0,637,120,337,235,727,97,22,2,855,2,37,17,15,Matches
114,Joaquín Ardaiz\eb823875,uy URU,FW,Frosinone,it Serie A,19,1999,0.2,4,4,0,0,0,1,0,0,0,0,0,0,2,2,0,2,0,1,0,0,2,0,0,0,0,Matches
115,Alphonse Areola\2f965a72,fr FRA,GK,Paris S-G,fr Ligue 1,25,1993,21.0,508,350,158,24,0,37,11,0,0,0,0,0,378,15,115,36,372,0,0,96,437,0,11,1,1,Matches
116,Santiago Arias\fdd60087,co COL,DF,Atlético Madrid,es La Liga,26,1992,19.7,1037,856,181,8,5,191,11,43,0,0,0,0,618,190,229,71,702,65,173,4,821,1,8,24,31,Matches
117,Lorenzo Ariaudo\68b78c2a,it ITA,DF,Frosinone,it Serie A,29,1989,18.7,608,570,38,37,1,84,18,0,0,0,0,0,427,44,137,271,275,42,1,4,512,1,10,1,2,Matches
118,Nicolò Armini\2f7407fa,it ITA,DF,Lazio,it Serie A,17,2001,0.4,25,23,2,0,0,5,0,0,0,0,0,0,18,4,3,3,19,1,2,0,17,0,2,1,0,Matches
119,Yoël Armougom\9dd5da03,fr FRA,DFMF,Caen,fr Ligue 1,20,1998,20.6,910,724,186,6,2,128,21,49,1,0,0,0,448,167,295,629,43,47,179,1,636,0,21,18,32,Matches
120,Stuart Armstrong\97333cf5,sct SCO,MFFW,Southampton,eng Premier League,26,1992,15.9,655,616,39,4,4,148,18,13,13,4,0,0,440,127,88,108,490,33,6,6,500,3,9,26,35,Matches
121,José Arnaiz\46e07328,es ESP,DFMF,Leganés,es La Liga,23,1995,1.3,32,31,1,1,0,13,0,1,0,0,0,0,23,2,7,8,20,2,0,0,25,0,1,1,3,Matches
122,Marko Arnautović\00459419,at AUT,FW,West Ham,eng Premier League,29,1989,22.1,652,610,42,2,6,143,9,28,0,0,0,0,451,130,71,80,505,38,5,6,494,3,14,23,30,Matches
123,Maximilian Arnold\86e119e0,de GER,MF,Wolfsburg,de Bundesliga,24,1994,31.9,1469,1262,207,116,5,221,114,61,69,8,7,1,824,213,432,1060,304,62,22,9,1105,6,41,17,35,Matches
124,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,eng Premier League,23,1994,36.0,1157,859,298,39,0,103,39,0,0,0,0,0,784,64,309,158,822,0,0,168,996,2,22,6,0,Matches
125,Harry Arter\2f4c5a52,ie IRL,MF,Cardiff City,eng Premier League,28,1989,22.2,680,620,60,16,0,118,20,12,0,0,0,0,430,130,120,325,291,51,2,4,535,3,13,20,16,Matches
126,Kwadwo Asamoah\089550f5,gh GHA,DF,Inter,it Serie A,29,1988,29.7,2216,1990,226,25,0,264,51,59,0,0,0,0,1571,331,314,1769,194,35,201,8,1933,1,13,42,44,Matches
127,Takuma Asano\13ddc856,jp JPN,MFFW,Hannover 96,de Bundesliga,23,1994,7.8,170,167,3,2,0,48,3,8,0,0,0,0,117,35,18,39,110,10,1,5,118,1,4,8,9,Matches
128,Santiago Ascacíbar\e26fcca3,ar ARG,MF,Stuttgart,de Bundesliga,21,1997,27.0,1140,1111,29,22,1,167,23,10,1,0,0,0,810,158,172,200,793,120,5,5,923,4,20,21,34,Matches
129,Sergio Asenjo\9f0ea33f,es ESP,GK,Villarreal,es La Liga,29,1989,32.0,805,471,334,83,0,26,22,0,0,0,0,0,296,57,452,79,547,0,0,129,521,8,19,3,0,Matches
130,Marco Asensio\45af8a54,es ESP,FW,Real Madrid,es La Liga,22,1996,19.8,1020,969,51,6,8,175,31,72,22,1,1,0,803,95,122,846,131,15,22,5,842,6,9,16,43,Matches
131,Iago Aspas\7dcf86f6,es ESP,FW,Celta Vigo,es La Liga,30,1987,25.0,904,859,45,14,2,187,23,31,5,0,0,0,667,147,90,604,223,46,12,8,722,4,4,27,29,Matches
132,Simon Asta\dfc85b89,de GER,DF,Augsburg,de Bundesliga,17,2001,1.0,35,30,5,0,0,7,0,1,0,0,0,0,18,4,13,3,23,3,5,0,21,0,0,1,1,Matches
