Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Ismael Aaneba\a7e4760c,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,3,3,204,2.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.5,0.00,0.20,0.20,0.00,0.20,Matches
2,Patrick van Aanholt\5f09991f,nl NED,DF,Crystal Palace,eng Premier League,27,1990,36,36,3195,35.5,3,2,3,0,0,3,0,0.08,0.06,0.14,0.08,0.14,2.7,2.7,3.5,6.2,0.08,0.10,0.17,0.08,0.17,Matches
3,Ignazio Abate\1c529186,it ITA,DF,Milan,it Serie A,31,1986,19,15,1302,14.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.4,0.00,0.02,0.02,0.00,0.02,Matches
4,Issah Abbas\2590ddf7,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.17,0.00,0.17,0.17,0.17,Matches
5,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,fr Ligue 1,30,1987,38,38,3420,38.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.7,1.7,0.1,1.8,0.04,0.00,0.05,0.04,0.05,Matches
6,Mehdi Abeid\a4c3f7af,dz ALG,MF,Dijon,fr Ligue 1,25,1992,26,23,2023,22.5,3,0,2,1,1,6,0,0.13,0.00,0.13,0.09,0.09,3.1,2.4,1.5,3.8,0.14,0.06,0.20,0.11,0.17,Matches
7,Charles Abi\469d3d84,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18,2000,3,0,32,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.45,0.00,0.45,0.45,0.45,Matches
8,David Abraham\565bf0da,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,17,17,1420,15.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.6,0.03,0.01,0.04,0.03,0.04,Matches
9,Amir Abrashi\1c08a3c8,al ALB,MF,Freiburg,de Bundesliga,28,1990,10,9,790,8.8,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.2,0.02,0.01,0.02,0.02,0.02,Matches
10,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,it Serie A,30,1988,37,37,3309,36.8,3,1,3,0,0,4,1,0.08,0.03,0.11,0.08,0.11,3.0,3.0,0.6,3.6,0.08,0.02,0.10,0.08,0.10,Matches
11,Afriyie Acquah\d7403bd5,gh GHA,MF,Empoli,it Serie A,26,1992,28,19,1510,16.8,2,0,2,0,0,4,0,0.12,0.00,0.12,0.12,0.12,1.6,1.6,0.6,2.2,0.09,0.04,0.13,0.09,0.13,Matches
12,Tyler Adams\2b09d998,us USA,MF,RB Leipzig,de Bundesliga,19,1999,10,8,721,8.0,0,2,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,0.2,0.2,0.7,0.9,0.03,0.09,0.12,0.03,0.12,Matches
13,Antonio Adán\65d62814,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
14,Aday\5890cef1,es ESP,DFMF,Girona,es La Liga,30,1987,10,8,645,7.2,0,2,0,0,0,2,0,0.00,0.28,0.28,0.00,0.28,0.2,0.2,0.8,1.0,0.03,0.12,0.15,0.03,0.15,Matches
15,Khaled Adénon\16714a62,bj BEN,DF,Amiens,fr Ligue 1,33,1985,23,22,1994,22.2,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.1,0.9,0.04,0.00,0.04,0.04,0.04,Matches
16,Claud Adjapong\ce5b170a,it ITA,MFDF,Sassuolo,it Serie A,20,1998,5,3,270,3.0,1,0,1,0,0,1,0,0.33,0.00,0.33,0.33,0.33,0.5,0.5,0.1,0.6,0.17,0.03,0.20,0.17,0.20,Matches
17,Yacine Adli\26777636,fr FRA,MFFW,Bordeaux,fr Ligue 1,18,2000,7,2,216,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.9,0.9,0.01,0.38,0.39,0.01,0.39,Matches
18,Ali Adnan Kadhim\06050480,iq IRQ,MFDF,Atalanta,it Serie A,24,1993,3,2,166,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.08,0.08,0.16,0.08,0.16,Matches
19,Aritz Aduriz\293211e1,es ESP,FW,Athletic Club,es La Liga,37,1981,20,10,943,10.5,2,0,0,2,2,5,0,0.19,0.00,0.19,0.00,0.00,3.4,1.8,0.4,2.3,0.32,0.04,0.36,0.17,0.21,Matches
20,Luis Advíncula\cacadf4f,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,28,27,2389,26.5,1,3,1,0,0,6,2,0.04,0.11,0.15,0.04,0.15,0.9,0.9,1.8,2.7,0.04,0.07,0.10,0.04,0.10,Matches
